,meas_wmax,wmax_001a,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t
0,0.228,0.13771283662202669,1,2-16R,3,2,0.0,35.049999999999976,198.0834810983904,12.7,0.0174539033302085,2,2,1,1
1,0.303,0.20092597344970345,1,2-16R,4,2,0.0,35.049999999999976,258.4822451666737,12.7,0.0174539033302085,2,2,1,1
2,0.303,0.1493825899092162,1,2-16T,3,2,0.0,35.049999999999976,215.08982554508447,12.7,0.0174539033302085,2,2,1,1
3,0.344,0.22112120543680613,1,2-16T,4,2,0.0,35.049999999999976,281.1877230395622,12.7,0.0174539033302085,2,2,1,1
4,0.446,0.2852171991171265,1,2-16T,5,2,0.0,35.049999999999976,340.32586687715127,12.7,0.0174539033302085,2,2,1,1
5,0.252,0.1544923902379788,1,2-24R,2,2,0.0,35.049999999999976,197.3080003455484,12.7,0.0153020522347034,1,2,1,1
6,0.391,0.30692264940759895,1,2-24R,3,2,0.0,35.049999999999976,328.63244857749464,12.7,0.0153020522347034,2,2,1,1
7,0.148,0.09791063779331588,1,2-32R1,2,2,0.0,35.00000000000002,157.3675700083816,12.7,0.0249525718711917,2,2,1,1
8,0.251,0.20503485952070571,1,2-32R1,3,2,0.0,35.00000000000002,265.04735031747714,12.7,0.0249525718711917,2,2,1,1
9,0.279,0.12550472769425902,1,2-4.75T,4,2,0.0,35.17999999999997,191.1045215188624,12.7,0.0383649706486183,2,2,1,1
10,0.392,0.17817256520167252,1,2-4.75T,5,2,0.0,35.17999999999997,255.8974991437278,12.7,0.0383649706486183,2,2,1,1
11,0.188,0.11875672952794263,1,2-8R,2,2,0.0,35.049999999999976,186.8787630380614,12.7,0.0349078066604171,2,2,1,1
12,0.254,0.1686769795614753,1,2-8R,3,2,0.0,35.049999999999976,249.3760073123149,12.7,0.0349078066604171,2,2,1,1
13,0.176,0.11177826741021674,1,2-8T,3,2,0.0,35.049999999999976,169.45081375073346,12.7,0.0349078066604171,2,2,1,1
14,0.275,0.15653678208877694,1,2-8T,4,2,0.0,35.049999999999976,222.84963810990325,12.7,0.0349078066604171,2,2,1,1
15,0.38,0.20789455502771942,1,2-8T,5,2,0.0,35.049999999999976,284.1894143476512,12.7,0.0349078066604171,2,2,1,1
16,0.406,0.2064370484301928,1,3-S2,3,2,0.0,44.44999999999998,197.36542245722396,12.700000000000005,0.0087266462599716,1,2,1,1
17,0.115,0.14790651837976862,2,R17,3,2,0.0,30.0,208.13647703053488,16.0,0.028519422670886,2,2,1,1
18,0.13,0.19481896580603364,2,R17,4,2,0.0,30.0,260.97317682222905,16.0,0.028519422670886,2,2,1,1
19,0.15,0.2418389140095563,2,R17,5,2,0.0,30.0,314.18392933486166,16.0,0.028519422670886,2,2,1,1
20,0.165,0.2418389140095563,2,R17,6,2,0.0,30.0,314.18392933486166,16.0,0.028519422670886,2,2,14,1
21,0.125,0.41226710905762165,2,R18,3,2,0.0,20.0,191.1342290475247,12.341463414634148,0.0157702964555201,2,2,1,1
22,0.125,0.5659362641315451,2,R18,4,2,0.0,20.0,239.1887328785413,12.341463414634148,0.0157702964555201,2,2,1,1
23,0.185,0.7193631667927382,2,R18,5,2,0.0,20.0,287.3944581718916,12.341463414634148,0.0157702964555201,2,2,1,1
